,type,subtype,ts,user,text,inviter,channel,is_system_message,client_msg_id,team,pinned_to,pinned_info,old_name,name,with_attachments,upload,display_as_bot,thread_ts,reply_count,reply_users_count,latest_reply,reply_users,subscribed,with_files,reactions,topic,edited,hidden,root,purpose,username,bot_id,icons
2433,message,,1584517377.0808,USUNC5F2A,e4d834dd78e8bbf79ea685e679784cc8cc110f88c23ecff5f79308d341c6ba93,,GSR9LR79B,False,e556f5af-f007-442e-a1bb-b568b76ad0fa,TPV9DP0N4,,,,,,,,1584517377.0808,7.0,3.0,1585165889.0057,"['USUNC5F2A', 'USWMKAJHW', 'USUMBA50E']",0.0,,,,,,,,,,
2434,message,group_leave,1584461636.0681,UT6SFM9FS,5b0834695f968422df4d365859db4696e45598aaf4d551488d1e9c9b71f79df9,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2435,message,group_leave,1584460814.0675,USDNX38G2,1c1c0666c7ff0f1ff1947d81fd188b6146cf6da4dbe6d4dd212ae286b8031503,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2436,message,group_leave,1584446938.0636,USSGKF5JR,eab214187e251380575c1068adb3cc1eff9d8d474021d6998553bf85fd0cdab8,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2437,message,group_leave,1584442668.0631,USG9Y7J57,e7766f4f11c04392afdd18b064af398b1b8a5a53b36868f692896c147f297606,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2438,message,group_leave,1584433065.0611,USUNGNANA,abba91d86606bfe03d1fe4aeeb60339d216595cd84a0d0090b14243c5481fed1,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2439,message,group_leave,1584432175.0609,USGACARGR,918e1b23cf6ca1d015681006cf3d03bf2c9d049fd1d890e175c59036ffdce43b,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2440,message,group_leave,1584370215.0544,USUCEQSDV,9b7749efa778a1460dcb954452e73557f38e08fa561f34ad79c98dc067b37e4c,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2441,message,,1584342979.0429,USAAUCX18,9f0e130f64342ff2caa10d6ce5cf3a0fdd42afcadc7cfc3f3b9381a6a06962b7,,GSR9LR79B,False,4c56c219-e896-4739-94a0-8d12139e893c,TPV9DP0N4,,,,,,,,1584342979.0429,7.0,3.0,1584691802.1452,"['USUC4M2HM', 'USWMKAJHW', 'USSGE53PA']",0.0,,,,,,,,,,
2442,message,,1584342974.0427,USAAUCX18,60f06266d087166fbb7e7eb58f64d8a04812a70aa1df0c3d55540806319402ed,,GSR9LR79B,False,e5a91023-cf00-44c3-a93e-eced52f4ab7b,TPV9DP0N4,,,,,,,,1584342974.0427,13.0,5.0,1585573486.0362,"['USSGPV7M3', 'USWMKAJHW', 'USSGVJBL5', 'USDNRGKGA', 'USGANF4QH']",0.0,,,,,,,,,,
2443,message,,1584342969.0425,USAAUCX18,7cdee45372ee47023353483126fa0f9990799917bd1ab7624136eb92306ebc8b,,GSR9LR79B,False,98824ef9-e5c9-439f-b08a-31c97bfd1e68,TPV9DP0N4,,,,,,,,1584342969.0425,13.0,5.0,1585126346.0016,"['UUG9HC716', 'USWMKAJHW', 'USUMBA50E', 'USSGE8YGG', 'USDMM5LQ2']",0.0,,,,,,,,,,
2444,message,,1584342963.0423,USAAUCX18,41b73623238c2aa406bdd0c6c6d6dda69e7fa589ccb683b7f81bcf7df7470709,,GSR9LR79B,False,acd87826-653a-4735-b464-986099333410,TPV9DP0N4,,,,,,,,1584342963.0423,7.0,3.0,1584696439.1465,"['USF2R12F5', 'USWMKAJHW', 'UT51SRKN1']",0.0,,,,,,,,,,
2445,message,,1584342958.0421,USAAUCX18,af3b7a426cb68c6d8111e682855bf7ab0a00b643a4c22befb2070f54a80b3839,,GSR9LR79B,False,5eaa82b7-a309-466a-bac7-83b96c5f5396,TPV9DP0N4,,,,,,,,1584342958.0421,16.0,5.0,1585476640.0203,"['USSGSQ7QV', 'USWMKAJHW', 'USUMBA50E', 'USSGPV7M3', 'USGANF4QH']",0.0,,,,,,,,,,
2446,message,,1584342951.0419,USAAUCX18,90af3e20ea0a327afb69a6acd29723abadf2ab12f270c3c1ad64377111f8c236,,GSR9LR79B,False,c34e4b88-7411-4b97-8f8f-0c191b2c865f,TPV9DP0N4,,,,,,,,1584342951.0419,9.0,4.0,1585598074.0433,"['USUC4M2HM', 'USWMKAJHW', 'UUG9HD3GQ', 'USSGKGY2Z']",0.0,,,,,,,,,,
2447,message,,1584342941.0417,USAAUCX18,a7d31384b57681eb18086dcde499cb81bcc177aa0cdf5530fd66b40f4e928e5b,,GSR9LR79B,False,d9bbc609-b40d-4b86-9b2d-0dd66e1a812a,TPV9DP0N4,,,,,,,,1584342941.0417,2.0,2.0,1584516893.0794,"['USUC4M2HM', 'USWMKAJHW']",0.0,,,,,,,,,,
2448,message,,1584342936.0415,USAAUCX18,0ca2361349029bb70c9dbe4f7570c4aa70684cc9b85314d4e7fba2ddffaed676,,GSR9LR79B,False,43b2fbe3-14e7-45f7-8e76-a5c1e186c793,TPV9DP0N4,,,,,,,,1584342936.0415,17.0,8.0,1585166615.0063,"['USUC952G7', 'USDNRC2MQ', 'USWMKAJHW', 'USDNX1VDY', 'USF2N4NRZ', 'USUNN80R4', 'USAAUCX18', 'USSGVJBL5']",0.0,,,,,,,,,,
2449,message,,1584342930.0413,USAAUCX18,b07a6d5df8c02cdfdda1d040d01c97b0041384c48d0a8f520d791a9d8e6f10c3,,GSR9LR79B,False,ee16b3b5-d677-4d6c-969e-f938d7a81999,TPV9DP0N4,,,,,,,,1584342930.0413,16.0,5.0,1587131430.1318,"['USSGSQ7QV', 'USWMKAJHW', 'USSGPSV29', 'USUNN80R4', 'USSGE8316']",0.0,,,,,,,,,,
2450,message,,1584342925.0411,USAAUCX18,c1f2b8cf8d0af5b3fab586f2cf3963594dbea30c793e4942aec6384e7b31b2af,,GSR9LR79B,False,1a7ee400-d6e2-4e54-9214-4a210010cae0,TPV9DP0N4,,,,,,,,1584342925.0411,19.0,5.0,1584647078.1364,"['USF2TUSEP', 'USF2N4NRZ', 'USWMKAJHW', 'USUC4M2HM', 'USF2HPGTV']",0.0,,,,,,,,,,
2451,message,,1584342919.0409,USAAUCX18,c78b61ca217694f3218f0a9eca3864106650f2346064593b5bb4f34251ae6bdd,,GSR9LR79B,False,23f0cd8d-5db0-41be-9655-87f3babbbef1,TPV9DP0N4,,,,,,,,1584342919.0409,13.0,5.0,1585147245.004,"['USSGSQ7QV', 'USWMKAJHW', 'USF2R461Z', 'USUNKHZUN', 'USSGE73A4']",0.0,,,,,,,,,,
2452,message,,1584342913.0407,USAAUCX18,f53d4b3e2afd5779404c62b8157e2103d87aa3f6e86f810eb9d4cb4d011a5b04,,GSR9LR79B,False,d7f785ad-5925-4b3d-a5ac-632eabd6a7a7,TPV9DP0N4,,,,,,,,1584342913.0407,25.0,9.0,1584951977.1687,"['USUC4M2HM', 'USWMKAJHW', 'USF4GBW59', 'UU65Z4EFK', 'USSGPSV29', 'UT51SRKN1', 'USSGH4E0G', 'USSGPU9V3', 'USSGE7U0Y']",0.0,,,,,,,,,,
2453,message,,1584342907.0405,USAAUCX18,6fde525863b4ea296377725f59e3e30756892e6db92a84c4a0036fbf863a49fe,,GSR9LR79B,False,3dae0c1d-8d93-44f1-88b8-e7e53001a2fc,TPV9DP0N4,,,,,,,,1584342907.0405,7.0,3.0,1584976979.1748,"['USUNGLN0N', 'USWMKAJHW', 'USF2N9Q0K']",0.0,,,,,,,,,,
2454,message,,1584342900.0403,USAAUCX18,891c8f0f3311965ff0ec534d46c11bb26c823c623feb4d94bc2c6532b8329dce,,GSR9LR79B,False,b4bdb9e1-557a-42df-b956-598ed8ff0f98,TPV9DP0N4,,,,,,,,,,,,,,,,,,,,,,,
2455,message,,1584342894.0401,USAAUCX18,979503f55e80f139720e8f65622f292734ba5c7761017148056eed169dced08f,,GSR9LR79B,False,61d71feb-a5aa-41d3-b3db-1daa736e4f88,TPV9DP0N4,,,,,,,,1584342894.0401,6.0,2.0,1584452479.0666,"['UUG9HD3GQ', 'USWMKAJHW']",0.0,,,,,,,,,,
2456,message,,1584342888.0399,USAAUCX18,b30583216219b6a30edc5db5bacebca1ec011f50ba7a984e2a7ed233d9f71f87,,GSR9LR79B,False,6752ef51-8e1f-4152-9912-c03cea74c3dd,TPV9DP0N4,,,,,,,,1584342888.0399,5.0,3.0,1584817243.1582,"['UUG9HD3GQ', 'USWMKAJHW', 'USSGVJBL5']",0.0,,,,,,,,,,
2457,message,,1584342883.0397,USAAUCX18,c49f312fa45af162c0eb320745755436e1af5cb39de5b826eb6acbf2aa7b04c9,,GSR9LR79B,False,33f201d7-43e0-4300-8731-b4d7175b7b2b,TPV9DP0N4,,,,,,,,,,,,,,,,,,,,,,,
2458,message,,1584342877.0395,USAAUCX18,8fb5971f9ef514f8d71d989a8aa375f4a18547aa0575dde2e91587e2d8ed28e2,,GSR9LR79B,False,3aa082ff-1c33-47fb-852b-477d0686840f,TPV9DP0N4,,,,,,,,,,,,,,,,,,,,,,,
2459,message,,1584342871.0393,USAAUCX18,9bdf6744e16afcac717e9816cf597eb722916ba4f13a0d68df632c7e1ead9a6a,,GSR9LR79B,False,fcc1d6db-f90e-4c96-9b59-408b2b698fc5,TPV9DP0N4,,,,,,,,1584342871.0393,9.0,4.0,1584693865.1454,"['USUC4M2HM', 'USWMKAJHW', 'UUG9HD3GQ', 'USUNN80R4']",0.0,,,,,,,,,,
2460,message,,1584342865.0391,USAAUCX18,3234ccaad8a33a4bad4afc52a608c5d3fd93cf90ec8a96a2aaece71cf0cf2c01,,GSR9LR79B,False,8fc7ce6c-8475-4e79-8ddd-bc21296654f9,TPV9DP0N4,,,,,,,,1584342865.0391,41.0,6.0,1589307739.2156,"['USUC4M2HM', 'USWMKAJHW', 'USUMBA50E', 'USUCEMMF1', 'USUNGM5D4', 'USSGKGY2Z']",0.0,,,,,,,,,,
2461,message,,1584342859.0389,USAAUCX18,60456f8c7dd8bb9f4c517e207e75db62bdd2c184ead7ed1c1f3ee4aeca33b7f8,,GSR9LR79B,False,e8297a21-dc06-4e70-bff8-d5f58f0551eb,TPV9DP0N4,,,,,,,,1584342859.0389,23.0,8.0,1585817171.0685,"['USDNRC2MQ', 'USUNC7A5C', 'USWMKAJHW', 'USF2R12F5', 'USUC4M2HM', 'USDMM5LQ2', 'USSGVJBL5', 'USSGE8316']",0.0,,,,,,,,,,
2462,message,,1584342852.0387,USAAUCX18,c69800b173fab57018f6978bf15fcfb24f9b38c3c32e947b8dfe0d2822e1acb2,,GSR9LR79B,False,c207d37c-987b-4915-87f7-38e37384ed87,TPV9DP0N4,,,,,,,,,,,,,,,,,,,,,,,
2463,message,,1584294127.038,USUC4M2HM,59d28b70fa88f3341225cca5fea88150a7f63ecd17d38fb4b92837b5c87d8796,,GSR9LR79B,False,c2fc702a-9a8a-434f-aec5-b2a54bc5c9d6,TPV9DP0N4,,,,,,,,1584294127.038,2.0,2.0,1584301388.0383,"['USUC4M2HM', 'USWMKAJHW']",0.0,,,,,,,,,,
2464,message,group_leave,1584110209.0371,UTTUXN2SV,bb3c325ad0ff04e51b9deb192c9b13a070ec327d8420b174c19fafd0d445fa5f,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2465,message,group_join,1584108778.0369,UTTUXN2SV,85aad0580f84d559214441ba750bf64e41c8bfaa6b74bcffb206fb4d7e1725ce,USAAUCX18,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2466,message,group_leave,1584099951.0367,USVK0T545,64359057aa1e4682fb489d4242ee1c46472396ea162b760971bd33ef1060d8a2,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2467,message,group_leave,1584024735.0363,USUE26FRV,9deced222d28e89d9ef783f862fb875b19650eff2f57f172ce2152b2a5b954ab,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
2468,message,group_leave,1584022958.0361,UTTUXN2SV,bb3c325ad0ff04e51b9deb192c9b13a070ec327d8420b174c19fafd0d445fa5f,,GSR9LR79B,True,,,,,,,,,,,,,,,,,,,,,,,,,
